,Sex,Age,Sad - Was this caused by a specific event/s?,Sad - Was this caused by a recent or distant event (or events)?,Sad - Have you recently attempted exercise 10 and found this reignited unmanageable emotions as a result of old events?,Sad - Thank you. Now I will ask some questions to understand your situation.,Sad - Have you strongly felt or expressed any of the following emotions towards someone:,Sad - Do you believe that you should be the saviour of someone else?,"Sad - Do you see yourself as the victim, blaming someone else for how negative you feel?",Sad - Do you feel that you are trying to control someone?,Sad - Are you always blaming and accusing yourself for when something goes wrong?,"Sad - In previous conversations, have you considered other viewpoints presented?",Sad - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Angry - Was this caused by a specific event/s?,Angry - Was this caused by a recent or distant event (or events)?,Angry - Have you recently attempted exercise 10 and found this reignited unmanageable emotions as a result of old events?,Angry - Thank you. Now I will ask some questions to understand your situation.,Angry - Have you strongly felt or expressed any of the following emotions towards someone:,Angry - Do you believe that you should be the saviour of someone else?,"Angry - Do you see yourself as the victim, blaming someone else for how negative you feel?",Angry - Do you feel that you are trying to control someone?,Angry - Are you always blaming and accusing yourself for when something goes wrong?,"Angry - In previous conversations, have you considered other viewpoints presented?",Angry - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Anxious - Was this caused by a specific event/s?,Anxious - Was this caused by a recent or distant event (or events)?,Anxious - Have you recently attempted exercise 10 and found this reignited unmanageable emotions as a result of old events?,Anxious - Thank you. Now I will ask some questions to understand your situation.,Anxious - Have you strongly felt or expressed any of the following emotions towards someone:,Anxious - Do you believe that you should be the saviour of someone else?,"Anxious - Do you see yourself as the victim, blaming someone else for how negative you feel?",Anxious - Do you feel that you are trying to control someone?,Anxious - Are you always blaming and accusing yourself for when something goes wrong?,"Anxious - In previous conversations, have you considered other viewpoints presented?",Anxious - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Happy - That's Good! Let me recommend an exercise you can attempt.,Loving - That's Good! Let me recommend an exercise you can attempt.,Insecure - Was this caused by a specific event/s?,Insecure - Was this caused by a recent or distant event (or events)?,Insecure - Have you recently attempted exercise 10 and found this reignited unmanageable emotions as a result of old events?,Insecure - Thank you. Now I will ask some questions to understand your situation.,Insecure - Have you strongly felt or expressed any of the following emotions towards someone:,Insecure - Do you believe that you should be the saviour of someone else?,"Insecure - Do you see yourself as the victim, blaming someone else for how negative you feel?",Insecure - Do you feel that you are trying to control someone?,Insecure - Are you always blaming and accusing yourself for when something goes wrong?,"Insecure - In previous conversations, have you considered other viewpoints presented?",Insecure - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Disgusted - Was this caused by a specific event/s?,Disgusted - Was this caused by a recent or distant event (or events)?,Disgusted - Have you recently attempted exercise 10 and found this reignited unmanageable emotions as a result of old events?,Disgusted - Thank you. Now I will ask some questions to understand your situation.,Disgusted - Have you strongly felt or expressed any of the following emotions towards someone:,Disgusted - Do you believe that you should be the saviour of someone else?,"Disgusted - Do you see yourself as the victim, blaming someone else for how negative you feel?",Disgusted - Do you feel that you are trying to control someone?,Disgusted - Are you always blaming and accusing yourself for when something goes wrong?,"Disgusted - In previous conversations, have you considered other viewpoints presented?",Disgusted - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Disappointed - Was this caused by a specific event/s?,Disappointed - Was this caused by a recent or distant event (or events)?,Disappointed - Have you recently attempted exercise 10 and found this reignited unmanageable emotions as a result of old events?,Disappointed - Thank you. Now I will ask some questions to understand your situation.,Disappointed - Have you strongly felt or expressed any of the following emotions towards someone:,Disappointed - Do you believe that you should be the saviour of someone else?,"Disappointed - Do you see yourself as the victim, blaming someone else for how negative you feel?",Disappointed - Do you feel that you are trying to control someone?,Disappointed - Are you always blaming and accusing yourself for when something goes wrong?,"Disappointed - In previous conversations, have you considered other viewpoints presented?",Disappointed - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Ashamed - Was this caused by a specific event/s?,Ashamed - Was this caused by a recent or distant event (or events)?,Ashamed - Have you recently attempted exercise 10 and found this reignited unmanageable emotions as a result of old events?,Ashamed - Thank you. Now I will ask some questions to understand your situation.,Ashamed - Have you strongly felt or expressed any of the following emotions towards someone:,Ashamed - Do you believe that you should be the saviour of someone else?,"Ashamed - Do you see yourself as the victim, blaming someone else for how negative you feel?",Ashamed - Do you feel that you are trying to control someone?,Ashamed - Are you always blaming and accusing yourself for when something goes wrong?,"Ashamed - In previous conversations, have you considered other viewpoints presented?",Ashamed - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Guilty - Was this caused by a specific event/s?,Guilty - Was this caused by a recent or distant event (or events)?,Guilty - Have you recently attempted exercise 10 and found this reignited unmanageable emotions as a result of old events?,Guilty - Thank you. Now I will ask some questions to understand your situation.,Guilty - Have you strongly felt or expressed any of the following emotions towards someone:,Guilty - Do you believe that you should be the saviour of someone else?,"Guilty - Do you see yourself as the victim, blaming someone else for how negative you feel?",Guilty - Do you feel that you are trying to control someone?,Guilty - Are you always blaming and accusing yourself for when something goes wrong?,"Guilty - In previous conversations, have you considered other viewpoints presented?",Guilty - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Envious - Was this caused by a specific event/s?,Envious - Was this caused by a recent or distant event (or events)?,Envious - Have you recently attempted exercise 10 and found this reignited unmanageable emotions as a result of old events?,Envious - Thank you. Now I will ask some questions to understand your situation.,Envious - Have you strongly felt or expressed any of the following emotions towards someone:,Envious - Do you believe that you should be the saviour of someone else?,"Envious - Do you see yourself as the victim, blaming someone else for how negative you feel?",Envious - Do you feel that you are trying to control someone?,Envious - Are you always blaming and accusing yourself for when something goes wrong?,"Envious - In previous conversations, have you considered other viewpoints presented?",Envious - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Jealous - Was this caused by a specific event/s?,Jealous - Was this caused by a recent or distant event (or events)?,Jealous - Have you recently attempted exercise 10 and found this reignited unmanageable emotions as a result of old events?,Jealous - Thank you. Now I will ask some questions to understand your situation.,Jealous - Have you strongly felt or expressed any of the following emotions towards someone:,Jealous - Do you believe that you should be the saviour of someone else?,"Jealous - Do you see yourself as the victim, blaming someone else for how negative you feel?",Jealous - Do you feel that you are trying to control someone?,Jealous - Are you always blaming and accusing yourself for when something goes wrong?,"Jealous - In previous conversations, have you considered other viewpoints presented?",Jealous - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,All emotions - From what you have said I believe you are feeling {}. Is this correct?,All emotions - I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,All emotions - Thank you for taking part. See you soon,"All emotions - Here are my recommendations, please select the exercise that you would like to attempt","All emotions - Please try to go through this exercise now. When you finish, press 'continue'",All emotions - Do you feel better or worse after having taken this exercise?,All emotions - Would you like to attempt another exercise? (Patient feels better),All emotions - Would you like to attempt another exercise? (Patient feels worse)
0,Male,30-39,"I'm sorry to hear you aren't feeling well. Did anything specific happen to cause you to feel this way? <1.0, 0.25> <1.0, 0.1>","I can identify with that. Now, are these feelings the result of an event that happened recently or a long time ago? <0.0, 0.24> <0.0, 0.05>","Knowing that your feelings are important to me, I need to ask you about your previous interactions with the exercises. Have you attempted exercise 10 anytime recently, and if so did it spark difficult emotions for you remembering this event? <0.5, 0.05> <0.5, 0>","Thank you for being so helpful and patient thus far. If you don't mind I have a few more questions that will further help me understand the situation. <0.5, 0.27> <0.5, 0.11>","I understand it may be difficult, but I would greatly appreciate if you could share this with me. May I ask if you have expressed or felt any of these strong emotions toward someone: <0.5, 0.18> <0.5, 0.07>",,,,,,,"I can help you better if you are able to tell me a bit more. Did a specific event cause you to feel this way? <0.5, 0.26> <0.5, 0.14>","Would you be able to tell me whether these particular feelings were caused by an event that happened recently or a longer time ago? <0.0, 0.28> <0.0, 0.08>","It would help me greatly if you could share this with me. Have you tried out exercise 10 recently, and if so did it cause you to feel any hard to manage emotions? <0.5, 0.15>","Thank you so much for your cooperation, I greatly appreciate it. I have just a few more questions to help me better understand what you're experiencing. <1.0, 0.47>","I would appreciate if you could tell me more about your feelings. One question I have is whether you've had or outwardly expressed any of these emotions toward another person: <0.5, 0.23>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Female,50-59,"Did something in particular happen that made you feel sad? Feel free to tell me openly. <0.5, 0.12>",,"Some people have found that exercise 10 doesn't necessarily help them, so I am trying to evaluate whether it could be right for your current situation. Have you tried exercise 10, and did it cause you to feel any negative emotions? <0.0, 0.04>","Thank you for sharing that with me. I am going to ask you some questions so we can get to the bottom of what is troubling you. <0.5, 0.57>","Have you had or expressed any of the following strong emotions toward someone else: <0.0, 0.08>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Male,30-39,"I'm sorry to hear that. Is there one particular thing that caused this feeling? <1.0, 0.23>","Ah, I see. Would you say this was a recent or distant event? <0.0, 0.2>","Thank you, I understand. Would you say that this negative emotion was triggered by a recent attempt at exercise 10? <0.5, 0.09>","Thank you for your patience. I will now ask you a few questions to help understand your situation. <1.0, 0.57>","Thanks, I appreciate your patience. Would you say you've strongly felt or expressed any of the following emotions towards someone: <0.5, 0.14>",,,,,,,,,,"I'm glad you are open and sharing your emotions. I'd like to ask you a few more questions to better understand the situation. <1.0, 0.39>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Female,25-29,"Thank you. Did something specific happen to make you sad? <0.5, 0.14>","Thank you, I understand. Could you tell me if this was something that happened recently or a while ago?  I hope you did not suffer too much from this event. <0.5, 0.26>","Can you let me know if you were recently working on exercise 10 and it brought back some bad feelings from this past event? <0.0, 0.09>","Thanks for telling me that. I will now ask you some questions to learn a little more about your situation. <1.0, 0.35>","Could you tell me if you've been having any of the following emotions lately or if you've shown these emotions to someone else: <0.0, 0.24>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Male,25-29,"Did something happen to bring about this feeling? <0.0, 0.12>","Could you tell me if this event or events happened recently or in the past? <0.0, 0.18>","Did you attempt exercise 10 and, if so, did looking back at this traumatic event reopen old wounds that caused an outburst of emotions? <0.0, 0.04>","Thank you, I appreciate that. I'm going to try and get to the bottom of this by asking you some more questions. <1.0, 0.58>","Can you think of a time where you strongly felt or showed these emotions to someone else: <0.0, 0.11>",,,,,,,"Did a particular situation cause this? <0.0, 0.05>","Do you think this was brought about by something that just happened or perhaps something more distant in your past? <0.0, 0.13>","Have you attempted exercise 10 recently and, if so, have you been thinking of some traumatic situation from your past that could've opened back up these wounds and brought out these emotions? <0.0, 0.07>","Thanks. I'm going to dig deeper by asking you some questions so we can fix this. <0.5, 0.32>","Have you been feeling or expressing any of these emotions to other people: <0.0, 0.09>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Female,50-59,"I'm so sorry to hear that. Can you identify a specific event that caused you to feel that way? <1.0, 0.38>","You must be hurting right now. Could you share whether this event was recent or longer ago? <0.0, 0.04>","I wonder, did trying exercise 10 recently trigger any bad feeling? If this happened, I hope you didn't suffer too much from that exercise. <0.5, 0.05>","I appreciate your efforts, even though it must be hard for you. I've got some questions now to help understand your situation. <0.5, 0.19>","If it's okay with you, can you let me know whether you've had any of these strong feelings towards anyone: <0.5, 0.21>",,,,,,,"Thank you, I understand you're upset right now, but I would appreciate it if you could tell me a but more. Did a specific event cause your anger? <0.5, 0.22>","Was the trigger something recent or longer ago? <0.0, 0.03>","I wonder, did you feel your anger triggered by exercise 10, if you had a chance to try it? <0.0, 0.09>","I appreciate that you're trying to work out your anger. Let's get answers to some questions so we can understand your situation better. <0.5, 0.26>","I understand you've been angry. Could you tell me whether, in addition to this anger, you have also experienced any of these strong emotions towards anyone: <0.5, 0.17>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Male,40-49,"Is your mood caused by anything specific? <0.0, 0.03>","Was the event that caused your sadness a recent event or something that happened a while ago? <0.0, 0.09>","Were you able to attempt exercise 10, and if so, did you feel like the exercise brought up the same difficult emotions that you experienced in the past? <0.0, 0.09>","Thank you for sharing your feelings. I have a couple of questions to help me understand your situation. <1.0, 0.38>","Have you found yourself feeling and/or expressing any of the following emotions towards another person: <0.0, 0.15>",,,,,,,"Could you tell me if your anger was caused by a specific event? <0.0, 0.23>","The event that caused your anger, would you consider it to be recent or did it happen a while back? <0.0, 0.14>","Have you been able to work on exercise 10 recently and, if you have, did you notice that you felt similar negative feelings as you did during this event? <0.0, 0.13>","I appreciate you sharing this with me. I'd like to ask a few more questions to help me understand your situation. <0.5, 0.57>","Have you found yourself feeling any of these emotions, or have you expressed them towards another person: <0.0, 0.18>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Female,30-39,"I do understand. Did a specific event occur to make this happen? <0.5, 0.09>","I see, thank you for sharing that. Was it a recent or distant event? <0.5, 0.11>",,"I'm in tune with your emotion and we will understand how to overcome it. I want to ask you some more questions to better understand why you feel that way. <0.5, 0.25>","May I ask if you have felt or shown any of these emotions recently: <0.5, 0.11>",,,,,,,"I understand, thank you for opening up to me. Did something happen to cause this? <0.5, 0.19>","I can understand that. Did a recent or distant event cause this? <0.5, 0.06>",,"I'm sorry to hear that you're going through all this. Now I will ask you some more questions to understand what is going on, I hope that will be fine. <1.0, 0.3>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Male,25-29,"I'm sorry to hear that. Could it be because of a certain event? If so, I hope it wasn't too difficult for you. <1.0, 0.39>","May I ask if it was something recent or in the past that made this feeling come up? <0.0, 0.16>","Did you by any chance try exercise 10 and if so did this trigger any negative emotions from the past? <0.0, 0.06>","Thanks for sharing that. If it's ok with you, I have some more questions. <1.0, 0.37>","If I may, have you had any strong feelings or expressions of the following emotions when in the company of someone: <0.5, 0.12>",,,,,,,"Do you feel like this may have been the result of a single incident? <0.0, 0.35>","Is it possible there was a recent cause of this anger, or is it due to something that happened in the distant past? <0.0, 0.27>","Have you made an attempt at exercise 10 and is it possible that this might've brought up some tense emotions from something in the past? <0.0, 0.06>","I appreciate you sharing that with me. I have just a few more questions. <1.0, 0.31>","I'm going to list some emotions now. Could you tell me if you've felt any of these emotions towards someone: <0.5, 0.08>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Male,30-39,"I'm sorry to hear that you are feeling sad. Do you know what led to such a sad feeling, was it a specific event? <1.0, 0.12>","Does the event that caused your sadness feel recent or distant? <0.0, 0.04>","I understand it can be difficult. May I ask if you have tried exercise 10 to better understand the emotions you felt, but it was just too painful to get through? <0.0, 0.08>","Thank you for sharing all this with me, I imagine it must be difficult. I'd like to better understand what you are going through with a few more questions. <1.0, 0.4>","During this difficult time have you been feeling any of the following strong emotions: <0.0, 0.12>",,,,,,,"I am sorry to hear it, this is something we all experience at times. Can you tell me if these feelings come from a specific event? <1.0, 0.24>","I see, thank you for that. Does this stem from something that happened recently, or was it a distant event that has been brewing for a while? <1.0, 0.29>","I understand thinking about the past can be uncomfortable at times. Have you tried working through exercise 10? If so, have you felt unable to deal with the emotions that arise? <0.0, 0.14>","I want to help. Please help me better understand your situation by answering a few more questions. <0.5, 0.28>","Sometimes we feel very strongly in certain scenarios. Have you felt any of these emotions toward someone in your life: <0.0, 0.12>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
